Color Name,Rate
BLACK 2RC,355
BLACK E,140
BLACK EMRD,328
BLACK RX-EX CONC,437
BLUE 2RX,1225
BLUE ER,629
BOURDEX BW,210
BRILL BLUE DBR CONC,539
BRILL BLUE GSL 400%,840
BRILL BLUE SR,796
BRILL BLUE X BRSL,509
BRILL RED 6B,540
BRILL RED BS,364
BRILL RED F3BL,447
BROWN 3REL N,268
BROWN MR,240
DARK RED 2B,247
GOLDEN YELLOW 2GNN,318
GOLDEN YELLOW HER,115
GREEN B,190
LIQUID BLACK SER,288
LUMINOUS PINK 5BN,820
LUMINOUS RED G,641
LUMINOUS YELLOW 10GN,840
MAROON R,380
NAVY BLUE 3G 200%,392
NAVY BLUE RX,130
ORANGE BRO,135
ORANGE RL,260
RED HE3B,235
RED HE8B,180
RED VIOLET FBL 200%,1015
RUBINE 5BH CONC,261
SCARLET 4BS,370
SCARLET CRR,233
SKY BLUE FF,135
TURQUOISE BLUE H5G,490
VIOLET 3R,378
VOILET BB,230
WHITE R,716
YELLOW 5 GLL,220
YELLOW 7GE,324
YELLOW BROWN,252
YELLOW HE68,285
YELLOW M7G,394
